GEOID,hous_c,li_c,nw_c,tot199_c,totnw_c,univ_c
42029308102,214.9276456816551,0.267630201844007,0.2890547263681592,1074,1162,4013
42029308200,161.6405348524699,0.31491097922848665,0.07022058823529412,849,191,2696
42029310400,NA,1,0.2501553760099441,2,805,2
42029311000,260.4752262234628,0.14482865560552025,0.15737463126843657,934,1067,6449
42029311100,461.88093393176877,0.034375880529726684,0.058579718154186236,122,212,3549
42029311200,380.5713858551823,0.11064814814814815,0.0396496081143384,239,86,2160
42029311300,460.19069168510003,0.07745629897528632,0.13063457330415754,257,597,3318
42029311401,194.64473872163137,0.18628622647146698,0.30862417075281223,1247,2140,6694
42029311403,234.0540711044845,0.13274605103280682,0.09201543484713565,437,310,3292
42029311404,248.28769002379943,0.08675234799802274,0.03806228373702422,351,154,4046
42029311500,255.5824197199483,0.1790953545232274,0.08465770171149144,586,277,3272
42029311600,148.56339747034934,0.3534090909090909,0.5689166193987522,622,1003,1760
42029311700,274.17508443330337,0.19229473211277098,0.2999778122919902,1712,2704,8903
42029311800,206.47643444831186,0.21168083356183165,0.11427788435187723,772,417,3647
42045400301,65.20776667411141,0.7067836953287712,0.7994060876020787,4751,5384,6722
42045400302,82.91083020500933,0.4560614081524616,0.7112228692429857,1723,2687,3778
42045400401,98.12301042502713,0.6077986383329895,0.8111225540679712,2946,3938,4847
42045400402,97.32236936081569,0.4810514786418401,0.7945235487404162,2196,3627,4565
42045400500,108.26446390503901,0.41687161829808167,0.6270853778213935,1695,2556,4066
42045400600,145.9835540412235,0.28808724832214766,0.4459731543624161,1717,2658,5960
42045400700,147.58483616964645,0.3647266313932981,0.6525573192239859,2068,3700,5670
42045400801,118.58383762154233,0.29156626506024097,0.8033734939759036,605,1667,2075
42045400802,178.45399720091064,0.2968476357267951,0.3327495621716287,1017,1140,3426
42045400900,285.4730194505096,0.02633085289066972,0.06983400114481969,46,122,1747
42045401000,238.85791748975328,0.08680020544427323,0.15870570107858242,169,309,1947
42045401101,140.20114635525184,0.2907223796033994,0.04745042492917847,821,134,2824
42045401103,255.31553936521115,0.13236574746008709,0.10914368650217707,456,376,3445
42045401104,167.4229425384416,0.18280965982861594,0.17622739018087855,704,682,3851
